POS RK,QB,QB_Notes,RB,RB_Notes,WR,WR_Notes,TE,TE_Notes,DEF,DEF_Notes,K,K_Notes
49,,,,,Christian Kirk,"Christian Kirk is sitting in the exact same position Diggs was last year, but is being drafted far below where Diggs was. Admittedly, the talent gap is there, but probably not enough to drop below some of the people going above him. While I would rather take Higgins on the chance he's more talented, Kirk will have some decent games.",,,,,,
50,,,,,Darnell Mooney,"Darnell Mooeny served as a decent bright spot for a few games last year, averaging over 6 targets/G last year. His efficiency wasn't all that good, but he did have elite snap share usage, and I don't see that changing. While I don't think Michael Penix is a great QB, if he does take a step up then Mooney is in line for good value.",,,,,,
51,,,,,Chris Godwin,"I love the talent, but the situation couldn't be worse
Injury will keep him out multiple weeks
Egbuka looks great, will earn targets
3 WRs to feed will leave 1 out, and I see it being the
injured one. Shame as he was crazy efficient when healthy, 35 pts/100 snaps",,,,,,
52,,,,,Michael Pittman,"Horrible efficiency last year 18 pts/100 snap
Big falloff, teammates picked up slack
Could win WR1 job but not my favorite
Daniel Jones likes to throw short, he's not slot",,,,,,
53,,,,,Wandale Robinson,"Most impressively bad season I've seen
10th in total targets, but only averaged 10 ppg
Don't hate as a late round flier in case volume stays",,,,,,
54,,,,,Rashid Shaheed,"While I do think Rashid has some talent, I don't share the same opinion of their QB room. I've already downgraded Olave because of this, I don't think multiple receivers can be supported in New Orleans.",,,,,,
55,,,,,Jayden Reed,"Jayden Reed has broken a bone in his foot, and likley is in line to miss some time. Reed was streaky last year, and didn't clearly differentiate himself from the receiving field. I like Golden to take over the field before him, and will be fading Reed.",,,,,,
56,,,,,Brandon Aiyuk,"Aiyuk is likely to miss at least a month to start the season, and I don't like betting on players coming back better from injury. With Pearsall and Jennings ready to compete at day 1, I see Aiyuk falling down the totem pole here.",,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
